DisplayName,SKUPartNumber,GUID
Dynamics 365 Talent: Onboard,DYNAMICS_365_ONBOARDING_SKU,b56e7ccc-d5c7-421f-a23b-5c18bdbad7c0
Dynamics 365 Team Members,DYN365_TEAM_MEMBERS,7ac9fe77-66b7-4e5e-9e46-10eed1cff547
Dynamics 365 Unf Ops Plan Ent Edition,Dynamics_365_for_Operations,ccba3cfe-71ef-423a-bd87-b6df3dce59a9
Enterprise Mobility + Security A3 for Faculty,EMS_EDU_FACULTY,aedfac18-56b8-45e3-969b-53edb4ba4952
Enterprise Mobility + Security E3,EMS,efccb6f7-5641-4e0e-bd10-b4976e1bf68e
Enterprise Mobility + Security E5,EMSPREMIUM,b05e124f-c7cc-45a0-a6aa-8cf78c946968
Enterprise Mobility + Security G3 GCC,EMS_GOV,c793db86-5237-494e-9b11-dcd4877c2c8c
Enterprise Mobility + Security G5 GCC,EMSPREMIUM_GOV,8a180c2b-f4cf-4d44-897c-3d32acc4a60b
Exchange Enterprise CAL Services (EOP DLP),EOP_ENTERPRISE_PREMIUM,e8ecdf70-47a8-4d39-9d15-093624b7f640
Exchange Online (Plan 1),EXCHANGESTANDARD,4b9405b0-7788-4568-add1-99614e613b69
Exchange Online (Plan 1) for GCC,EXCHANGESTANDARD_GOV,f37d5ebf-4bf1-4aa2-8fa3-50c51059e983
Exchange Online (Plan 2),EXCHANGEENTERPRISE,19ec0d23-8335-4cbd-94ac-6050e30712fa
Exchange Online Archiving for Exchange Online,EXCHANGEARCHIVE_ADDON,ee02fd1b-340e-4a4b-b355-4a514e4c8943
Exchange Online Archiving for Exchange Server,EXCHANGEARCHIVE,90b5e015-709a-4b8b-b08e-3200f994494c
Exchange Online Essentials (ExO P1 Based),EXCHANGEESSENTIALS,7fc0182e-d107-4556-8329-7caaa511197b
Exchange Online Essentials,EXCHANGE_S_ESSENTIALS,e8f81a67-bd96-4074-b108-cf193eb9433b
Exchange Online Kiosk,EXCHANGEDESKLESS,80b2d799-d2ba-4d2a-8842-fb0d0f3a4b82
Exchange Online POP,EXCHANGETELCO,cb0a98a8-11bc-494c-83d9-c1b1ac65327e
Exchange Online Protection,EOP_ENTERPRISE,45a2423b-e884-448d-a831-d9e139c52d2f
Intune,INTUNE_A,061f9ace-7d42-4136-88ac-31dc755f143f
Microsoft Dynamics AX7 User Trial,AX7_USER_TRIAL,fcecd1f9-a91e-488d-a918-a96cdb6ce2b0
Microsoft Azure Multi-Factor Authentication,MFA_STANDALONE,cb2020b1-d8f6-41c0-9acd-8ff3d6d7831b
Microsoft Defender for Office 365 (Plan 2),THREAT_INTELLIGENCE,3dd6cf57-d688-4eed-ba52-9e40b5468c3e
Microsoft 365 A1,M365EDU_A1,b17653a4-2443-4e8c-a550-18249dda78bb
Microsoft 365 A3 for Faculty,M365EDU_A3_FACULTY,4b590615-0888-425a-a965-b3bf7789848d
Microsoft 365 A3 for Students,M365EDU_A3_STUDENT,7cfd9a2b-e110-4c39-bf20-c6a3f36a3121
Microsoft 365 A3 for students use benefit,M365EDU_A3_STUUSEBNFT,18250162-5d87-4436-a834-d795c15c80f3
Microsoft 365 A3 - Unattended License for students use benefit,M365EDU_A3_STUUSEBNFT_RPA1,1aa94593-ca12-4254-a738-81a5972958e8
Microsoft 365 A5 for Faculty,M365EDU_A5_FACULTY,e97c048c-37a4-45fb-ab50-922fbf07a370
Microsoft 365 A5 for Students,M365EDU_A5_STUDENT,46c119d4-0379-4a9d-85e4-97c66d3f909e
Microsoft 365 A5 for students use benefit,M365EDU_A5_STUUSEBNFT,31d57bc7-3a05-4867-ab53-97a17835a411
Microsoft 365 A5 without Audio Conferencing for students use benefit,M365EDU_A5_NOPSTNCONF_STUUSEBNFT,81441ae1-0b31-4185-a6c0-32b6b84d419f
Microsoft 365 Apps for Business,O365_BUSINESS,cdd28e44-67e3-425e-be4c-737fab2899d3
Microsoft 365 Apps for Business,SMB_BUSINESS,b214fe43-f5a3-4703-beeb-fa97188220fc
Microsoft 365 Apps for Enterprise,OFFICESUBSCRIPTION,c2273bd0-dff7-4215-9ef5-2c7bcfb06425
Microsoft 365 Apps for Enterprise (device),OFFICE_PROPLUS_DEVICE1,ea4c5ec8-50e3-4193-89b9-50da5bd4cdc7
Microsoft 365 Apps for Students,OFFICESUBSCRIPTION_STUDENT,c32f9321-a627-406d-a114-1f9c81aaafac
Microsoft 365 Apps for Faculty,OFFICESUBSCRIPTION_FACULTY,12b8c807-2e20-48fc-b453-542b6ee9d171
Microsoft 365 Audio Conferencing for GCC,MCOMEETADV_GOC,2d3091c7-0712-488b-b3d8-6b97bde6a1f5
Microsoft 365 Business Basic,O365_BUSINESS_ESSENTIALS,3b555118-da6a-4418-894f-7df1e2096870
Microsoft 365 Business Basic,SMB_BUSINESS_ESSENTIALS,dab7782a-93b1-4074-8bb1-0e61318bea0b
Microsoft 365 Business Standard,O365_BUSINESS_PREMIUM,f245ecc8-75af-4f8e-b61f-27d8114de5f3
Microsoft 365 Business Standard - Prepaid Legacy,SMB_BUSINESS_PREMIUM,ac5cef5d-921b-4f97-9ef3-c99076e5470f
Microsoft 365 Business Premium,SPB,cbdc14ab-d96c-4c30-b9f4-6ada7cdc1d46
Microsoft 365 Business Voice,BUSINESS_VOICE_MED2,a6051f20-9cbc-47d2-930d-419183bf6cf1
Microsoft 365 Business Voice (US),BUSINESS_VOICE_MED2_TELCO,08d7bce8-6e16-490e-89db-1d508e5e9609
Microsoft 365 Business Voice (without calling plan),BUSINESS_VOICE_DIRECTROUTING,d52db95a-5ecb-46b6-beb0-190ab5cda4a8
Microsoft 365 Business Voice (without Calling Plan) for US,BUSINESS_VOICE_DIRECTROUTING_MED,8330dae3-d349-44f7-9cad-1b23c64baabe
Microsoft 365 Domestic Calling Plan (120 Minutes),MCOPSTN_5,11dee6af-eca8-419f-8061-6864517c1875
Microsoft 365 Domestic Calling Plan for GCC,MCOPSTN_1_GOV,923f58ab-fca1-46a1-92f9-89fda21238a8
Microsoft 365 E3,SPE_E3,05e9a617-0261-4cee-bb44-138d3ef5d965
Microsoft 365 E3 - Unattended License,SPE_E3_RPA1,c2ac2ee4-9bb1-47e4-8541-d689c7e83371
Microsoft 365 E3_USGOV_DOD,SPE_E3_USGOV_DOD,d61d61cc-f992-433f-a577-5bd016037eeb
Microsoft 365 E3_USGOV_GCCHIGH,SPE_E3_USGOV_GCCHIGH,ca9d1dd9-dfe9-4fef-b97c-9bc1ea3c3658
Microsoft 365 E5,SPE_E5,06ebc4ee-1bb5-47dd-8120-11324bc54e06
Microsoft 365 E5 Developer (without Windows and Audio Conferencing),DEVELOPERPACK_E5,c42b9cae-ea4f-4ab7-9717-81576235ccac
Microsoft 365 E5 Compliance,INFORMATION_PROTECTION_COMPLIANCE,184efa21-98c3-4e5d-95ab-d07053a96e67
Microsoft 365 E5 Security,IDENTITY_THREAT_PROTECTION,26124093-3d78-432b-b5dc-48bf992543d5
Microsoft 365 E5 Security for EMS E5,IDENTITY_THREAT_PROTECTION_FOR_EMS_E5,44ac31e7-2999-4304-ad94-c948886741d4
Microsoft 365 E5 without Audio Conferencing,SPE_E5_NOPSTNCONF,cd2925a3-5076-4233-8931-638a8c94f773
Microsoft 365 F1,M365_F1,44575883-256e-4a79-9da4-ebe9acabe2b2
Microsoft 365 F3,SPE_F1,66b55226-6b4f-492c-910c-a3b7a3c9d993
Microsoft 365 F3 GCC,M365_F1_GOV,2a914830-d700-444a-b73c-e3f31980d833
Microsoft 365 F5 Security Add-on,SPE_F5_SEC,67ffe999-d9ca-49e1-9d2c-03fb28aa7a48
Microsoft 365 F5 Security + Compliance Add-on,SPE_F5_SECCOMP,32b47245-eb31-44fc-b945-a8b1576c439f
Microsoft 365 GCC G5,M365_G5_GCC,e2be619b-b125-455f-8660-fb503e431a5d
Microsoft Power Automate Free,FLOW_FREE,f30db892-07e9-47e9-837c-80727f46fd3d
Microsoft 365 Audio Conferencing for GCC,MCOMEETADV_GOV,2d3091c7-0712-488b-b3d8-6b97bde6a1f5
Microsoft 365 E5 Suite features,M365_E5_SUITE_COMPONENTS,99cc8282-2f74-4954-83b7-c6a9a1999067
Microsoft 365 F1,M365_F1_COMM,50f60901-3181-4b75-8a2c-4c8e4c1d5a72
MICROSOFT 365 G3 GCC,M365_G3_GOV,e823ca47-49c4-46b3-b38d-ca11d5abe3d2
Microsoft 365 Phone System,MCOEV,e43b5b99-8dfb-405f-9987-dc307f34bcbd
Microsoft 365 Phone System for DOD,MCOEV_DOD,d01d9287-694b-44f3-bcc5-ada78c8d953e
Microsoft 365 Phone System for Faculty,MCOEV_FACULTY,d979703c-028d-4de5-acbf-7955566b69b9
Microsoft 365 Phone System for GCC,MCOEV_GOV,a460366a-ade7-4791-b581-9fbff1bdaa85
Microsoft 365 Phone System for GCCHIGH,MCOEV_GCCHIGH,7035277a-5e49-4abc-a24f-0ec49c501bb5
Microsoft 365 Phone System for Small And Medium Business,MCOEVSMB_1,aa6791d3-bb09-4bc2-afed-c30c3fe26032
Microsoft 365 Phone System for Students,MCOEV_STUDENT,1f338bbc-767e-4a1e-a2d4-b73207cc5b93
Microsoft 365 Phone System for Telstra,MCOEV_TELSTRA,ffaf2d68-1c95-4eb3-9ddd-59b81fba0f61
Microsoft 365 Phone System_USGOV_DOD,MCOEV_USGOV_DOD,b0e7de67-e503-4934-b729-53d595ba5cd1
Microsoft 365 Phone System_USGOV_GCCHIGH,MCOEV_USGOV_GCCHIGH,985fcb26-7b94-475b-b512-89356697be71
Microsoft 365 Phone System - Virtual User,PHONESYSTEM_VIRTUALUSER,440eaaa8-b3e0-484b-a8be-62870b9ba70a
Microsoft 365 Phone System - Virtual User for GCC,PHONESYSTEM_VIRTUALUSER_GOV,2cf22bcb-0c9e-4bc6-8daf-7e7654c0f285
Microsoft 365 Security and Compliance for Firstline Workers,M365_SECURITY_COMPLIANCE_FOR_FLW,2347355b-4e81-41a4-9c22-55057a399791
Microsoft Business Center,MICROSOFT_BUSINESS_CENTER,726a0894-2c77-4d65-99da-9775ef05aad1
Microsoft Cloud App Security,ADALLOM_STANDALONE,df845ce7-05f9-4894-b5f2-11bbfbcfd2b6
Microsoft Defender For Endpoint,WIN_DEF_ATP,111046dd-295b-4d6d-9724-d52ac90bd1f2
Microsoft Defender for Endpoint P1,DEFENDER_ENDPOINT_P1,16a55f2f-ff35-4cd5-9146-fb784e3761a5
Microsoft Defender for Endpoint P2_XPLAT,MDATP_XPLAT,b126b073-72db-4a9d-87a4-b17afe41d4ab
Microsoft Defender for Endpoint Server,MDATP_Server,509e8ab6-0274-4cda-bcbd-bd164fd562c4
Microsoft Dynamics CRM Online Basic,CRMPLAN2,906af65a-2970-46d5-9b58-4e9aa50f0657
Microsoft Defender for Identity,ATA,98defdf7-f6c1-44f5-a1f6-943b6764e7a5
Microsoft Defender for Office 365 (Plan 1) Faculty,ATP_ENTERPRISE_FACULTY,26ad4b5c-b686-462e-84b9-d7c22b46837f
Microsoft Defender for Office 365 (Plan 1) GCC,ATP_ENTERPRISE_GOV,d0d1ca43-b81a-4f51-81e5-a5b1ad7bb005
Microsoft Defender for Office 365 (Plan 2) GCC,THREAT_INTELLIGENCE_GOV,56a59ffb-9df1-421b-9e61-8b568583474d
Microsoft Dynamics CRM Online,CRMSTANDARD,d17b27af-3f49-4822-99f9-56a661538792
MS Imagine Academy,IT_ACADEMY_AD,ba9a34de-4489-469d-879c-0f0f145321cd
Microsoft Intune Device,INTUNE_A_D,2b317a4a-77a6-4188-9437-b68a77b4e2c6
Microsoft Intune Device For Government,INTUNE_A_D_GOV,2c21e77a-e0d6-4570-b38a-7ff2dc17d2ca
Microsoft Power Apps for Developer,POWERAPPS_DEV,5b631642-bd26-49fe-bd20-1daaa972ef80
Microsoft Power Apps Plan 2 Trial,POWERAPPS_VIRAL,dcb1a3ae-b33f-4487-846a-a640262fadf4
Microsoft Power Automate Plan 2,FLOW_P2,4755df59-3f73-41ab-a249-596ad72b5504
Microsoft Intune SMB,INTUNE_SMB,e6025b08-2fa5-4313-bd0a-7e5ffca32958
Microsoft Power Apps Plan 2 (Qualified Offer),POWERFLOW_P2,ddfae3e3-fcb2-4174-8ebd-3023cb213c8b
Microsoft Stream,STREAM,1f2f344a-700d-42c9-9427-5cea1d5d7ba6
Microsoft Stream Plan 2,STREAM_P2,ec156933-b85b-4c50-84ec-c9e5603709ef
Microsoft Stream Storage Add-On (500 GB),STREAM_STORAGE,9bd7c846-9556-4453-a542-191d527209e8
Microsoft Teams Audio Conferencing select dial-out,Microsoft_Teams_Audio_Conferencing_select_dial_out,1c27243e-fb4d-42b1-ae8c-fe25c9616588
Microsoft Teams (Free),TEAMS_FREE,16ddbbfc-09ea-4de2-b1d7-312db6112d70
Microsoft Teams Exploratory,TEAMS_EXPLORATORY,710779e8-3d4a-4c88-adb9-386c958d1fdf
Microsoft Teams Rooms Standard,MEETING_ROOM,6070a4c8-34c6-4937-8dfb-39bbc6397a60
Microsoft Teams Rooms Standard without Audio Conferencing,MEETING_ROOM_NOAUDIOCONF,61bec411-e46a-4dab-8f46-8b58ec845ffe
Microsoft Teams Trial,MS_TEAMS_IW,74fbf1bb-47c6-4796-9623-77dc7371723b
Microsoft Threat Experts - Experts on Demand,EXPERTS_ON_DEMAND,9fa2f157-c8e4-4351-a3f2-ffa506da1406
Multi-Geo Capabilities in Office 365,OFFICE365_MULTIGEO,84951599-62b7-46f3-9c9d-30551b2ad607
Nonprofit Portal,NONPROFIT_PORTAL,aa2695c9-8d59-4800-9dc8-12e01f1735af
Office 365 A1 for faculty,STANDARDWOFFPACK_FACULTY,94763226-9b3c-4e75-a931-5c89701abe66
Office 365 A1 Plus for faculty,STANDARDWOFFPACK_IW_FACULTY,78e66a63-337a-4a9a-8959-41c6654dfb56
Office 365 A1 for students,STANDARDWOFFPACK_STUDENT,314c4481-f395-4525-be8b-2ec4bb1e9d91
Office 365 A1 Plus for students,STANDARDWOFFPACK_IW_STUDENT,e82ae690-a2d5-4d76-8d30-7c6e01e6022e
Office 365 A3 for faculty,ENTERPRISEPACKPLUS_FACULTY,e578b273-6db4-4691-bba0-8d691f4da603
Office 365 A3 for students,ENTERPRISEPACKPLUS_STUDENT,98b6e773-24d4-4c0d-a968-6e787a1f8204
Office 365 A5 for faculty,ENTERPRISEPREMIUM_FACULTY,a4585165-0533-458a-97e3-c400570268c4
Office 365 A5 for students,ENTERPRISEPREMIUM_STUDENT,ee656612-49fa-43e5-b67e-cb1fdf7699df
Office 365 Advanced Compliance,EQUIVIO_ANALYTICS,1b1b1f7a-8355-43b6-829f-336cfccb744c
Office 365 Advanced Compliance for GCC,EQUIVIO_ANALYTICS_GOV,1a585bba-1ce3-416e-b1d6-9c482b52fcf6
Microsoft Defender for Office 365 (Plan 1),ATP_ENTERPRISE,4ef96642-f096-40de-a3e9-d83fb2f90211
Office 365 Extra File Storage for GCC,SHAREPOINTSTORAGE_GOV,e5788282-6381-469f-84f0-3d7d4021d34d
Microsoft Teams Commercial Cloud,TEAMS_COMMERCIAL_TRIAL,29a2f828-8f39-4837-b8ff-c957e86abe3c
Office 365 Cloud App Security,ADALLOM_O365,84d5f90f-cd0d-4864-b90b-1c7ba63b4808
Office 365 Extra File Storage,SHAREPOINTSTORAGE,99049c9c-6011-4908-bf17-15f496e6519d
Office 365 E1,STANDARDPACK,18181a46-0d4e-45cd-891e-60aabd171b4e
Office 365 E2,STANDARDWOFFPACK,6634e0ce-1a9f-428c-a498-f84ec7b8aa2e
Office 365 E3,ENTERPRISEPACK,6fd2c87f-b296-42f0-b197-1e91e994b900
Office 365 E3 Developer,DEVELOPERPACK,189a915c-fe4f-4ffa-bde4-85b9628d07a0
Office 365 E3_USGOV_DOD,ENTERPRISEPACK_USGOV_DOD,b107e5a3-3e60-4c0d-a184-a7e4395eb44c
Office 365 E3_USGOV_GCCHIGH,ENTERPRISEPACK_USGOV_GCCHIGH,aea38a85-9bd5-4981-aa00-616b411205bf
Office 365 E4,ENTERPRISEWITHSCAL,1392051d-0cb9-4b7a-88d5-621fee5e8711
Office 365 E5,ENTERPRISEPREMIUM,c7df2760-2c81-4ef7-b578-5b5392b571df
Office 365 E5 without Audio Conferencing,ENTERPRISEPREMIUM_NOPSTNCONF,26d45bd9-adf1-46cd-a9e1-51e9a5524128
Office 365 F3,DESKLESSPACK,4b585984-651b-448a-9e53-3b10f069cf7f
Office 365 G1 GCC,STANDARDPACK_GOV,3f4babde-90ec-47c6-995d-d223749065d1
Office 365 G3 GCC,ENTERPRISEPACK_GOV,535a3a29-c5f0-42fe-8215-d3b9e1f38c4a
Office 365 G5 GCC,ENTERPRISEPREMIUM_GOV,8900a2c0-edba-4079-bdf3-b276e293b6a8
Office 365 Midsize Business,MIDSIZEPACK,04a7fb0d-32e0-4241-b4f5-3f7618cd1162
Office 365 Small Business,LITEPACK,bd09678e-b83c-4d3f-aaba-3dad4abd128b
Office 365 Small Business Premium,LITEPACK_P2,fc14ec4a-4169-49a4-a51e-2c852931814b
Onedrive For Business (Plan 1),WACONEDRIVESTANDARD,e6778190-713e-4e4f-9119-8b8238de25df
Onedrive For Business (Plan 2),WACONEDRIVEENTERPRISE,ed01faf2-1d88-4947-ae91-45ca18703a96
Power Apps and Logic Flows,POWERAPPS_INDIVIDUAL_USER,87bbbc60-4754-4998-8c88-227dca264858
Power Apps per app baseline access,POWERAPPS_PER_APP_IW,bf666882-9c9b-4b2e-aa2f-4789b0a52ba2
Power Apps per app plan,POWERAPPS_PER_APP,a8ad7d2b-b8cf-49d6-b25a-69094a0be206
Power Apps per app plan (1 app or portal),POWERAPPS_PER_APP_NEW,b4d7b828-e8dc-4518-91f9-e123ae48440d
Power Apps per user plan,POWERAPPS_PER_USER,b30411f5-fea1-4a59-9ad9-3db7c7ead579
Power Apps per user plan for Government,POWERAPPS_PER_USER_GCC,8e4c6baa-f2ff-4884-9c38-93785d0d7ba1
Power Apps Plan 1 for Government,POWERAPPS_P1_GOV,eca22b68-b31f-4e9c-a20c-4d40287bc5dd
Power Apps Portals login capacity add-on Tier 2 (10 unit min),POWERAPPS_PORTALS_LOGIN_T2,57f3babd-73ce-40de-bcb2-dadbfbfff9f7
Power Apps Portals login capacity add-on Tier 2 (10 unit min) for Government,POWERAPPS_PORTALS_LOGIN_T2_GCC,26c903d5-d385-4cb1-b650-8d81a643b3c4
Power Apps Portals page view capacity add-on for Government,POWERAPPS_PORTALS_PAGEVIEW_GCC,15a64d3e-5b99-4c4b-ae8f-aa6da264bfe7
Power Automate per flow plan,FLOW_BUSINESS_PROCESS,b3a42176-0a8c-4c3f-ba4e-f2b37fe5be6b
Power Automate per user plan,FLOW_PER_USER,4a51bf65-409c-4a91-b845-1121b571cc9d
Power Automate per user plan dept,FLOW_PER_USER_DEPT,d80a4c5d-8f05-4b64-9926-6574b9e6aee4
Power Automate per user plan for Government,FLOW_PER_USER_GCC,c8803586-c136-479a-8ff3-f5f32d23a68e
Power Automate per user with attended RPA plan,POWERAUTOMATE_ATTENDED_RPA,eda1941c-3c4f-4995-b5eb-e85a42175ab9
Power Automate unattended RPA add-on,POWERAUTOMATE_UNATTENDED_RPA,3539d28c-6e35-4a30-b3a9-cd43d5d3e0e2
